Date,Open,High,Low,Close,Volume,AdrActCnt,FeeTotNtv,HashRate,SplyCur,TxCnt,DXY_Close,TNX_Yield,FeeTotUSD,True_Market_Cap,Fee_to_MCap,Log_Return,Target_Next_Log_Return,Rolling_Volatility,log_True_Market_Cap,log_FeeTotUSD,log_AdrActCnt,log_HashRate,log_Fee_to_MCap,Split
2026-03-03,68785.078125,69232.890625,66237.6171875,68293.6484375,47947999049,652464.0,2.63690598,961863190.0499836,19997285.53083797,377782.0,99.0500030517578,4.056000232696533,180083.9299608614,1365687587747.354,1.3186319592894777e-07,-0.007035921401254354,0.06267011054362281,0.04296747317128413,27.942679145025643,12.101183851710001,13.388512776893574,20.68438278547099,1.318631872349973e-07,Test
2026-03-04,68290.5625,74051.8046875,67437.40625,72710.578125,75073101274,697294.0,3.05384441,933150853.8587877,19997691.78083047,382886.0,98.7699966430664,4.079999923706055,222046.79255489956,1454043730549.744,1.527098448895675e-07,0.06267011054362281,-0.026047184090688055,0.044431823016621325,28.00536957061975,12.310647919463447,13.454963842668551,20.65407743369307,1.5270983322942035e-07,Test
2026-03-05,72712.65625,73555.7890625,70654.8828125,70841.125,51172841727,686708.0,2.77213841,1193001934.3916588,19998210.530821,459142.0,99.31999969482422,4.145999908447266,196381.4036201113,1416695731990.2068,1.3861932325032853e-07,-0.026047184090688055,-0.03892676222985379,0.04411073386608641,27.979348326685976,12.187819076286381,13.439665900682778,20.899738602350613,1.3861931364267103e-07,Test
2026-03-06,70842.15625,71378.5703125,67757.8203125,68136.4921875,43776962871,672019.0,2.9057224,1052672433.1900944,19998666.78080593,446899.0,98.98999786376952,4.132999897003174,197985.73160664376,1362639002870.799,1.452958055578394e-07,-0.03892676222985379,-0.012760002816373808,0.04421281092522202,27.940444378736444,12.195955295343603,13.418043380967172,20.774597943061366,1.4529579500240486e-07,Test
2026-03-07,68136.6875,68515.1640625,66969.2578125,67272.59375,23258701211,592224.0,2.22674614,951731243.3842344,19999079.28076545,435530.0,98.98999786376952,4.132999897003174,149798.9884606006,1345389935828.9763,1.1134243275597301e-07,-0.012760002816373808,-0.019556151272463178,0.03405884419014611,27.92770500208031,11.917056273033214,13.291641909226328,20.67379324658063,1.1134242655740482e-07,Test
2026-03-08,67272.5,68177.7890625,65639.1953125,65969.78125,33195080116,523172.0,1.90552808,966151414.8397176,19999498.03076505,457769.0,98.98999786376952,4.132999897003174,125707.27060333252,1319362510199.376,9.527879535120049e-08,-0.019556151272463178,0.036210883133673905,0.026334917115135074,27.908169789052554,11.741719188780857,13.16766747228893,20.688831125069242,9.527879081217636e-08,Test
2026-03-09,65969.5859375,69474.9453125,65858.0078125,68402.3828125,49499875378,627803.0,2.58511692,994991747.3681616,19999929.2807458,408602.0,99.18000030517578,4.136000156402588,176828.15717691093,1368042818884.502,1.292563030454676e-07,0.036210883133673905,0.022043063053682945,0.02706116956688407,27.94440223499396,12.082939331747504,13.34998329482557,20.718245001991153,1.292562946918724e-07,Test
2026-03-10,68402.71875,71770.8984375,68402.71875,69926.921875,54003996096,649875.0,2.64778758,994991747.3681616,20000360.5307284,378570.0,98.83000183105467,4.136000156402588,185151.63524825533,1398563648304.0784,1.323869925210578e-07,0.022043063053682945,0.003967140831024369,0.02724668306169801,27.966466860390533,12.128935819285328,13.384536854442286,20.718245001991153,1.3238698375790067e-07,Test
2026-03-11,69931.25,71337.6640625,68998.8671875,70204.8828125,45236859848,629140.0,2.84788589,1002201838.2871644,20000794.90572402,405045.0,99.2300033569336,4.208000183105469,199935.49517082228,1404153462513.2017,1.423886352229413e-07,0.003967140831024369,0.004102088510358853,0.027254439329521117,27.970455719343988,12.20575507096282,13.352110675903093,20.72546525573783,1.4238862508568057e-07,Test
2026-03-12,70209.765625,70775.828125,69230.15625,70493.4609375,40871848129,640192.0,2.73949767,930100981.0097485,20001198.0306968,450856.0,99.73999786376952,4.2729997634887695,193116.67198851728,1409953672080.127,1.369666789857068e-07,0.004102088510358853,0.006712861238543366,0.027020693823413138,27.97457796309878,12.171054981518212,13.369524972375023,20.65080372102307,1.3696666960577208e-07,Test
2026-03-13,70497.046875,73927.328125,70410.7265625,70968.265625,61167226505,676568.0,3.29025507,872420305.5703381,20001576.15569067,401832.0,100.36000061035156,4.284999847412109,233503.69578176297,1419477169535.722,1.6449978963602256e-07,0.006712861238543366,0.0034653905327112298,0.026537525732617365,27.981309729275868,12.36095746630328,13.424789716957196,20.586781868694782,1.6449977610593365e-07,Test
2026-03-14,70965.3828125,71291.203125,70339.5859375,71214.625,22283546496,557544.0,2.03416365,922890900.473268,20001976.1556846,441416.0,100.36000061035156,4.284999847412109,144862.20152338126,1424433231186.0205,1.0169813393272578e-07,0.0034653905327112298,0.021879197879022205,0.02641576977992813,27.984795118032277,11.883545138315405,13.23129849654772,20.643021585560344,1.0169812876147091e-07,Test
2026-03-15,71213.6796875,73173.0078125,70882.421875,72789.9140625,27991268669,534462.0,1.9612594,901260648.4813046,20002366.78068161,399359.0,100.36000061035156,4.284999847412109,142759.9031802703,1455970559012.4192,9.805136669597493e-08,0.021879197879022205,0.028056806108927662,0.02577380206224506,28.00669384504079,11.868926504148039,13.189017783477741,20.619305062839036,9.805136188893999e-08,Test
